,id,link,author,description,source,favorite_count,retweet_count,lang,tweet_type,user_statuses_count,user_friends_count,user_followers_count,boost_value ,token,re_stop,stem,join
110,111,https://twitter.com/apomadeinjogja/statuses/1577267155007332353,apomadeinjogja,udah tap out tetep aja pas di cek dimesin jaklingko kartunya belum aktif jd ttp kepotong x hadeh ,Twitter for Android,0,0,in,original,236,8,0,0,"['udah', 'tap', 'out', 'tetep', 'aja', 'pas', 'di', 'cek', 'dimesin', 'jaklingko', 'kartunya', 'belum', 'aktif', 'jd', 'ttp', 'kepotong', 'x', 'hadeh']","['udah', 'tap', 'out', 'tetep', 'aja', 'pas', 'cek', 'dimesin', 'jaklingko', 'kartunya', 'aktif', 'jd', 'kepotong', 'x', 'hadeh']","['udah', 'tap', 'out', 'tetep', 'aja', 'pas', 'cek', 'mesin', 'jaklingko', 'kartu', 'aktif', 'jd', 'potong', 'x', 'hadeh']",udah tap out tetep aja pas cek mesin jaklingko kartu aktif jd potong x hadeh
111,112,https://twitter.com/tithakuddah/statuses/1577264526906380289,tithakuddah,kepala kejedot berasa bocor anjir ini ga tau berdarah apa kagak masih di jaklingko ,Twitter for iPhone,0,0,in,original,17203,191,831,0,"['kepala', 'kejedot', 'berasa', 'bocor', 'anjir', 'ini', 'ga', 'tau', 'berdarah', 'apa', 'kagak', 'masih', 'di', 'jaklingko']","['kepala', 'kejedot', 'berasa', 'bocor', 'anjir', 'ga', 'tau', 'berdarah', 'kagak', 'jaklingko']","['kepala', 'jedot', 'asa', 'bocor', 'anjir', 'ga', 'tau', 'darah', 'kagak', 'jaklingko']",kepala jedot asa bocor anjir ga tau darah kagak jaklingko
112,113,https://twitter.com/ihsani_fauzan/statuses/1577261134532706304,ihsani_fauzan,ada notif dr app jaklingko mah udh berlaku ,Twitter for Android,0,0,in,reply,8051,265,163,0,"['ada', 'notif', 'dr', 'app', 'jaklingko', 'mah', 'udh', 'berlaku']","['notif', 'app', 'jaklingko', 'mah', 'udh', 'berlaku']","['notif', 'app', 'jaklingko', 'mah', 'udh', 'laku']",notif app jaklingko mah udh laku
113,114,https://twitter.com/NovyAstria/statuses/1577261081910599680,NovyAstria,min cara isi kartu jaklingko masih harus di halte tj dan mrt ya ,Twitter for Android,0,0,in,original,52981,401,1351,0,"['min', 'cara', 'isi', 'kartu', 'jaklingko', 'masih', 'harus', 'di', 'halte', 'tj', 'dan', 'mrt', 'ya']","['min', 'isi', 'kartu', 'jaklingko', 'halte', 'mrt', 'ya']","['min', 'isi', 'kartu', 'jaklingko', 'halte', 'mrt', 'ya']",min isi kartu jaklingko halte mrt ya
114,115,https://twitter.com/Toughfiq/statuses/1577259937192759301,Toughfiq,bisa biasanya dari jaklingkomrt tjcommuter line ,Twitter for Android,0,0,in,reply,27348,171,189,0,"['bisa', 'biasanya', 'dari', 'jaklingkomrt', 'tjcommuter', 'line']","['jaklingkomrt', 'tjcommuter', 'line']","['jaklingkomrt', 'tjcommuter', 'line']",jaklingkomrt tjcommuter line
115,116,https://twitter.com/farghifar/statuses/1577259774894538752,farghifar,min kalo pake aplikasi jaklingko sistemnya apakah sama seperti penggunaan kartu ,Twitter for Android,0,0,in,reply,12763,357,468,0,"['min', 'kalo', 'pake', 'aplikasi', 'jaklingko', 'sistemnya', 'apakah', 'sama', 'seperti', 'penggunaan', 'kartu']","['min', 'kalo', 'pake', 'aplikasi', 'jaklingko', 'sistemnya', 'penggunaan', 'kartu']","['min', 'kalo', 'pake', 'aplikasi', 'jaklingko', 'sistem', 'guna', 'kartu']",min kalo pake aplikasi jaklingko sistem guna kartu
116,117,https://twitter.com/RatuBulletProof/statuses/1577258911027015680,RatuBulletProof,halo min jaklingko grogolmeruya saat ini beroperasi ga ya ,Twitter for Android,0,0,in,original,1590,196,216,0,"['halo', 'min', 'jaklingko', 'grogolmeruya', 'saat', 'ini', 'beroperasi', 'ga', 'ya']","['halo', 'min', 'jaklingko', 'grogolmeruya', 'beroperasi', 'ga', 'ya']","['halo', 'min', 'jaklingko', 'grogolmeruya', 'operasi', 'ga', 'ya']",halo min jaklingko grogolmeruya operasi ga ya
117,118,https://twitter.com/anekwoodpecker/statuses/1577250526504587264,anekwoodpecker,berarti kalau turun di halte yang gak ada tap outnya kartunya bakal keblokir kartunya ini khusus jaklingko atau semuanya ,Twitter for Android,8,0,in,reply,8723,350,248,"3,225806452","['berarti', 'kalau', 'turun', 'di', 'halte', 'yang', 'gak', 'ada', 'tap', 'outnya', 'kartunya', 'bakal', 'keblokir', 'kartunya', 'ini', 'khusus', 'jaklingko', 'atau', 'semuanya']","['turun', 'halte', 'gak', 'tap', 'outnya', 'kartunya', 'keblokir', 'kartunya', 'khusus', 'jaklingko']","['turun', 'halte', 'gak', 'tap', 'outnya', 'kartu', 'blokir', 'kartu', 'khusus', 'jaklingko']",turun halte gak tap outnya kartu blokir kartu khusus jaklingko
118,119,https://twitter.com/randhilicious/statuses/1577250289681596416,randhilicious,ternyata bersamaan dengan berlakunya tarif integrasi antarmoda dgn sistem jaklingko dengan menggunakan kartu jadi mau nikmati tarif jaklingko gak cuma pakai aplikasi tapi juga pakai kartu lumayan kartu ok otrip tetap berlaku ,Twitter for Android,0,0,in,reply,11224,369,762,0,"['ternyata', 'bersamaan', 'dengan', 'berlakunya', 'tarif', 'integrasi', 'antarmoda', 'dgn', 'sistem', 'jaklingko', 'dengan', 'menggunakan', 'kartu', 'jadi', 'mau', 'nikmati', 'tarif', 'jaklingko', 'gak', 'cuma', 'pakai', 'aplikasi', 'tapi', 'juga', 'pakai', 'kartu', 'lumayan', 'kartu', 'ok', 'otrip', 'tetap', 'berlaku']","['bersamaan', 'berlakunya', 'tarif', 'integrasi', 'antarmoda', 'sistem', 'jaklingko', 'kartu', 'nikmati', 'tarif', 'jaklingko', 'gak', 'pakai', 'aplikasi', 'pakai', 'kartu', 'lumayan', 'kartu', 'ok', 'otrip', 'berlaku']","['sama', 'laku', 'tarif', 'integrasi', 'antarmoda', 'sistem', 'jaklingko', 'kartu', 'nikmat', 'tarif', 'jaklingko', 'gak', 'pakai', 'aplikasi', 'pakai', 'kartu', 'lumayan', 'kartu', 'ok', 'otrip', 'laku']",sama laku tarif integrasi antarmoda sistem jaklingko kartu nikmat tarif jaklingko gak pakai aplikasi pakai kartu lumayan kartu ok otrip laku
119,120,https://twitter.com/bandarbaru_1/statuses/1577247996630089729,bandarbaru_1,sepengalaman saya mesin tap di angkot jaklingko terkadang tidak berfungsi sepanjang perjalanan juga terkadang sopir langsung tancap gas setelah saya turun tidak memungkinkan untuk melakukan tapout makanya saya merasa kebijakan wajib tapout belum bisa diimplementasikan ,TweetDeck,0,0,in,reply,704,46,1,0,"['sepengalaman', 'saya', 'mesin', 'tap', 'di', 'angkot', 'jaklingko', 'terkadang', 'tidak', 'berfungsi', 'sepanjang', 'perjalanan', 'juga', 'terkadang', 'sopir', 'langsung', 'tancap', 'gas', 'setelah', 'saya', 'turun', 'tidak', 'memungkinkan', 'untuk', 'melakukan', 'tapout', 'makanya', 'saya', 'merasa', 'kebijakan', 'wajib', 'tapout', 'belum', 'bisa', 'diimplementasikan']","['sepengalaman', 'mesin', 'tap', 'angkot', 'jaklingko', 'terkadang', 'berfungsi', 'perjalanan', 'terkadang', 'sopir', 'langsung', 'tancap', 'gas', 'turun', 'tapout', 'kebijakan', 'wajib', 'tapout', 'diimplementasikan']","['alam', 'mesin', 'tap', 'angkot', 'jaklingko', 'terkadang', 'fungsi', 'jalan', 'terkadang', 'sopir', 'langsung', 'tancap', 'gas', 'turun', 'tapout', 'bijak', 'wajib', 'tapout', 'implementasi']",alam mesin tap angkot jaklingko terkadang fungsi jalan terkadang sopir langsung tancap gas turun tapout bijak wajib tapout implementasi
120,121,https://twitter.com/thisnotbey/statuses/1577245330487529472,thisnotbey,setengah jalan lumayan bangett aku dr tmpt les mahal tp krna ada barengan jd aku diturunin pas setengah jalan jd abistu aku naik angkutan umum kaya angkot atau jaklingko jd gratiss ,Twitter for iPhone,0,0,in,reply,27545,259,73,0,"['setengah', 'jalan', 'lumayan', 'bangett', 'aku', 'dr', 'tmpt', 'les', 'mahal', 'tp', 'krna', 'ada', 'barengan', 'jd', 'aku', 'diturunin', 'pas', 'setengah', 'jalan', 'jd', 'abistu', 'aku', 'naik', 'angkutan', 'umum', 'kaya', 'angkot', 'atau', 'jaklingko', 'jd', 'gratiss']","['jalan', 'lumayan', 'bangett', 'tmpt', 'les', 'mahal', 'tp', 'krna', 'barengan', 'jd', 'diturunin', 'pas', 'jalan', 'jd', 'abistu', 'angkutan', 'kaya', 'angkot', 'jaklingko', 'jd', 'gratiss']","['jalan', 'lumayan', 'bangett', 'tmpt', 'les', 'mahal', 'tp', 'krna', 'bareng', 'jd', 'diturunin', 'pas', 'jalan', 'jd', 'abistu', 'angkut', 'kaya', 'angkot', 'jaklingko', 'jd', 'gratiss']",jalan lumayan bangett tmpt les mahal tp krna bareng jd diturunin pas jalan jd abistu angkut kaya angkot jaklingko jd gratiss
121,122,https://twitter.com/NasriSyawaldi/statuses/1577240954238820352,NasriSyawaldi,ada ya kmt krl dan kmt jaklingko beda nya apa ,Twitter for iPhone,0,0,in,reply,282,121,20,0,"['ada', 'ya', 'kmt', 'krl', 'dan', 'kmt', 'jaklingko', 'beda', 'nya', 'apa']","['ya', 'kmt', 'krl', 'kmt', 'jaklingko', 'beda', 'nya']","['ya', 'kmt', 'krl', 'kmt', 'jaklingko', 'beda', 'nya']",ya kmt krl kmt jaklingko beda nya
122,123,https://twitter.com/r_ymzkiiii/statuses/1577235488271781891,r_ymzkiiii,mau tanya min untuk di kue nya kan minimal harus ada saldo rb kan itu apa cuma kartu keluaran bank aja yang harus ada minimal saldo atau emoney tapcash jaklingko card juga harus ada min saldo ,Twitter for Android,0,0,in,reply,247,80,24,0,"['mau', 'tanya', 'min', 'untuk', 'di', 'kue', 'nya', 'kan', 'minimal', 'harus', 'ada', 'saldo', 'rb', 'kan', 'itu', 'apa', 'cuma', 'kartu', 'keluaran', 'bank', 'aja', 'yang', 'harus', 'ada', 'minimal', 'saldo', 'atau', 'emoney', 'tapcash', 'jaklingko', 'card', 'juga', 'harus', 'ada', 'min', 'saldo']","['min', 'kue', 'nya', 'minimal', 'saldo', 'rb', 'kartu', 'keluaran', 'bank', 'aja', 'minimal', 'saldo', 'emoney', 'tapcash', 'jaklingko', 'card', 'min', 'saldo']","['min', 'kue', 'nya', 'minimal', 'saldo', 'rb', 'kartu', 'keluar', 'bank', 'aja', 'minimal', 'saldo', 'emoney', 'tapcash', 'jaklingko', 'card', 'min', 'saldo']",min kue nya minimal saldo rb kartu keluar bank aja minimal saldo emoney tapcash jaklingko card min saldo
123,124,https://twitter.com/cantigiunguu/statuses/1577235005083832320,cantigiunguu,serius yg kebanyakan eror sih tdi yg pake kartu jaklingko ,Twitter for Android,0,0,in,reply,20174,607,720,0,"['serius', 'yg', 'kebanyakan', 'eror', 'sih', 'tdi', 'yg', 'pake', 'kartu', 'jaklingko']","['serius', 'kebanyakan', 'eror', 'sih', 'tdi', 'pake', 'kartu', 'jaklingko']","['serius', 'banyak', 'eror', 'sih', 'tdi', 'pake', 'kartu', 'jaklingko']",serius banyak eror sih tdi pake kartu jaklingko
124,125,https://twitter.com/PT_Transjakarta/statuses/1577228853206216705,PT_Transjakarta,halo kak saat ini kartu kmt krl tidak bisa digunakan di transjakarta terkecuali kartu kmt jaklingko bisa digunakan di mesin gate yang berada di halte transjakarta silakan gunakan kartu uang elektronik seperti kartu jaklingko flazz emoney tapcash brizzi dan jakcard  ,TweetDeck,1,0,in,reply,420083,23,478545,"0,000208967","['halo', 'kak', 'saat', 'ini', 'kartu', 'kmt', 'krl', 'tidak', 'bisa', 'digunakan', 'di', 'transjakarta', 'terkecuali', 'kartu', 'kmt', 'jaklingko', 'bisa', 'digunakan', 'di', 'mesin', 'gate', 'yang', 'berada', 'di', 'halte', 'transjakarta', 'silakan', 'gunakan', 'kartu', 'uang', 'elektronik', 'seperti', 'kartu', 'jaklingko', 'flazz', 'emoney', 'tapcash', 'brizzi', 'dan', 'jakcard']","['halo', 'kak', 'kartu', 'kmt', 'krl', 'transjakarta', 'terkecuali', 'kartu', 'kmt', 'jaklingko', 'mesin', 'gate', 'halte', 'transjakarta', 'silakan', 'kartu', 'uang', 'elektronik', 'kartu', 'jaklingko', 'flazz', 'emoney', 'tapcash', 'brizzi', 'jakcard']","['halo', 'kak', 'kartu', 'kmt', 'krl', 'transjakarta', 'kecuali', 'kartu', 'kmt', 'jaklingko', 'mesin', 'gate', 'halte', 'transjakarta', 'sila', 'kartu', 'uang', 'elektronik', 'kartu', 'jaklingko', 'flazz', 'emoney', 'tapcash', 'brizzi', 'jakcard']",halo kak kartu kmt krl transjakarta kecuali kartu kmt jaklingko mesin gate halte transjakarta sila kartu uang elektronik kartu jaklingko flazz emoney tapcash brizzi jakcard
126,127,https://twitter.com/cat5ims/statuses/1577223616508268544,cat5ims,pake jaklingko ,Twitter for Android,0,0,in,reply,30109,521,322,0,"['pake', 'jaklingko']","['pake', 'jaklingko']","['pake', 'jaklingko']",pake jaklingko
127,128,https://twitter.com/Annisaswan1/statuses/1577222196933468160,Annisaswan1,restock lagi kartu jaklingko dong min segera ,Twitter for Android,0,0,in,reply,5708,189,103,0,"['restock', 'lagi', 'kartu', 'jaklingko', 'dong', 'min', 'segera']","['restock', 'kartu', 'jaklingko', 'min']","['restock', 'kartu', 'jaklingko', 'min']",restock kartu jaklingko min
128,129,https://twitter.com/skzhyungline/statuses/1577215990063980547,skzhyungline,kalo pakai jaklingko ada perbedaan gak daripada pakai kartu flazz dll buat transit di blok m yg bayar itu sama tap in tap out ini ,Twitter for Android,0,0,in,original,18884,122,195,0,"['kalo', 'pakai', 'jaklingko', 'ada', 'perbedaan', 'gak', 'daripada', 'pakai', 'kartu', 'flazz', 'dll', 'buat', 'transit', 'di', 'blok', 'm', 'yg', 'bayar', 'itu', 'sama', 'tap', 'in', 'tap', 'out', 'ini']","['kalo', 'pakai', 'jaklingko', 'perbedaan', 'gak', 'pakai', 'kartu', 'flazz', 'dll', 'transit', 'blok', 'm', 'bayar', 'tap', 'in', 'tap', 'out']","['kalo', 'pakai', 'jaklingko', 'beda', 'gak', 'pakai', 'kartu', 'flazz', 'dll', 'transit', 'blok', 'm', 'bayar', 'tap', 'in', 'tap', 'out']",kalo pakai jaklingko beda gak pakai kartu flazz dll transit blok m bayar tap in tap out
129,130,https://twitter.com/tanyakanrl/statuses/1577213194908467200,tanyakanrl,jaklingko sampe jam berapa sih ,Twitter for Mac,1,0,in,original,461361,12844,461519,"0,000216676","['jaklingko', 'sampe', 'jam', 'berapa', 'sih']","['jaklingko', 'sampe', 'jam', 'sih']","['jaklingko', 'sampe', 'jam', 'sih']",jaklingko sampe jam sih
130,131,https://twitter.com/walvenardo/statuses/1577213035088781315,walvenardo,min kalau misalnya turun di halte blok m dan mau lanjut ke halte lain harus keluar dan tap kartu ya apakah disarankan menggunakan kartu jaklingko agar dapat tarif terintegrasi mohon info ,Twitter for Android,0,0,in,original,48500,1360,364,0,"['min', 'kalau', 'misalnya', 'turun', 'di', 'halte', 'blok', 'm', 'dan', 'mau', 'lanjut', 'ke', 'halte', 'lain', 'harus', 'keluar', 'dan', 'tap', 'kartu', 'ya', 'apakah', 'disarankan', 'menggunakan', 'kartu', 'jaklingko', 'agar', 'dapat', 'tarif', 'terintegrasi', 'mohon', 'info']","['min', 'turun', 'halte', 'blok', 'm', 'halte', 'tap', 'kartu', 'ya', 'disarankan', 'kartu', 'jaklingko', 'tarif', 'terintegrasi', 'mohon', 'info']","['min', 'turun', 'halte', 'blok', 'm', 'halte', 'tap', 'kartu', 'ya', 'saran', 'kartu', 'jaklingko', 'tarif', 'integrasi', 'mohon', 'info']",min turun halte blok m halte tap kartu ya saran kartu jaklingko tarif integrasi mohon info
131,132,https://twitter.com/jodaya_56/statuses/1577205871288807425,jodaya_56,sbnrnya kotak biadabnya udah ada itu malah di ig jaklingko udah di post tp implementasi di tj malah duarr surprised motherfucker ,Twitter for Android,0,0,in,reply,137772,1248,665,0,"['sbnrnya', 'kotak', 'biadabnya', 'udah', 'ada', 'itu', 'malah', 'di', 'ig', 'jaklingko', 'udah', 'di', 'post', 'tp', 'implementasi', 'di', 'tj', 'malah', 'duarr', 'surprised', 'motherfucker']","['sbnrnya', 'kotak', 'biadabnya', 'udah', 'ig', 'jaklingko', 'udah', 'post', 'tp', 'implementasi', 'duarr', 'surprised', 'motherfucker']","['sbnrnya', 'kotak', 'biadab', 'udah', 'ig', 'jaklingko', 'udah', 'post', 'tp', 'implementasi', 'duarr', 'surprised', 'motherfucker']",sbnrnya kotak biadab udah ig jaklingko udah post tp implementasi duarr surprised motherfucker
132,133,https://twitter.com/Mikhatanu/statuses/1577203883675332611,Mikhatanu,tarif integrasi jaklingko dah bisa dipakai di kartu flazz tapi aplikasi nya ga bisa dibuka di ios karena you are using jailbroken ios which is prohibited to use this app pdahal ga jailbreak  ,Twitter Web App,0,0,in,original,1208,387,87,0,"['tarif', 'integrasi', 'jaklingko', 'dah', 'bisa', 'dipakai', 'di', 'kartu', 'flazz', 'tapi', 'aplikasi', 'nya', 'ga', 'bisa', 'dibuka', 'di', 'ios', 'karena', 'you', 'are', 'using', 'jailbroken', 'ios', 'which', 'is', 'prohibited', 'to', 'use', 'this', 'app', 'pdahal', 'ga', 'jailbreak']","['tarif', 'integrasi', 'jaklingko', 'dah', 'dipakai', 'kartu', 'flazz', 'aplikasi', 'nya', 'ga', 'dibuka', 'ios', 'you', 'are', 'using', 'jailbroken', 'ios', 'which', 'is', 'prohibited', 'to', 'use', 'this', 'app', 'pdahal', 'ga', 'jailbreak']","['tarif', 'integrasi', 'jaklingko', 'dah', 'pakai', 'kartu', 'flazz', 'aplikasi', 'nya', 'ga', 'buka', 'ios', 'you', 'are', 'using', 'jailbroken', 'ios', 'which', 'is', 'prohibited', 'to', 'use', 'this', 'app', 'pdahal', 'ga', 'jailbreak']",tarif integrasi jaklingko dah pakai kartu flazz aplikasi nya ga buka ios you are using jailbroken ios which is prohibited to use this app pdahal ga jailbreak
133,134,https://twitter.com/Ibujumantik/statuses/1577203265472634880,Ibujumantik,min sebenernya kartu untuk naik jaklingko tuh yang mana sih  kita sudah pakai kartu sesuai rekomendasi emoney dkk tapi saat ga bisa ngetab driver pada nyinyir kenapa ga pake kartu jaklingko dkk yang bermasalah kan alatnya bukan kartunya kurangin judesnya  ,Twitter for iPhone,2,0,in,original,21345,322,268,"0,746268657","['min', 'sebenernya', 'kartu', 'untuk', 'naik', 'jaklingko', 'tuh', 'yang', 'mana', 'sih', 'kita', 'sudah', 'pakai', 'kartu', 'sesuai', 'rekomendasi', 'emoney', 'dkk', 'tapi', 'saat', 'ga', 'bisa', 'ngetab', 'driver', 'pada', 'nyinyir', 'kenapa', 'ga', 'pake', 'kartu', 'jaklingko', 'dkk', 'yang', 'bermasalah', 'kan', 'alatnya', 'bukan', 'kartunya', 'kurangin', 'judesnya']","['min', 'sebenernya', 'kartu', 'jaklingko', 'tuh', 'sih', 'pakai', 'kartu', 'sesuai', 'rekomendasi', 'emoney', 'dkk', 'ga', 'ngetab', 'driver', 'nyinyir', 'ga', 'pake', 'kartu', 'jaklingko', 'dkk', 'bermasalah', 'alatnya', 'kartunya', 'kurangin', 'judesnya']","['min', 'sebenernya', 'kartu', 'jaklingko', 'tuh', 'sih', 'pakai', 'kartu', 'sesuai', 'rekomendasi', 'emoney', 'dkk', 'ga', 'ngetab', 'driver', 'nyinyir', 'ga', 'pake', 'kartu', 'jaklingko', 'dkk', 'masalah', 'alat', 'kartu', 'rangin', 'judes']",min sebenernya kartu jaklingko tuh sih pakai kartu sesuai rekomendasi emoney dkk ga ngetab driver nyinyir ga pake kartu jaklingko dkk masalah alat kartu rangin judes
134,135,https://twitter.com/LeonardEricLie/statuses/1577201077895602176,LeonardEricLie,dia harus registrasi aktivasi kartu dulu mah yaudah sediain dulu itu model kotak merah biadab khas kci yang jelek dan susah dibaca itu itu kewajiban si jaklingko nya justru sebagai integrator pemungut tarif ,Twitter for Android,0,0,in,reply,77507,53,324,0,"['dia', 'harus', 'registrasi', 'aktivasi', 'kartu', 'dulu', 'mah', 'yaudah', 'sediain', 'dulu', 'itu', 'model', 'kotak', 'merah', 'biadab', 'khas', 'kci', 'yang', 'jelek', 'dan', 'susah', 'dibaca', 'itu', 'itu', 'kewajiban', 'si', 'jaklingko', 'nya', 'justru', 'sebagai', 'integrator', 'pemungut', 'tarif']","['registrasi', 'aktivasi', 'kartu', 'mah', 'yaudah', 'sediain', 'model', 'kotak', 'merah', 'biadab', 'khas', 'kci', 'jelek', 'susah', 'dibaca', 'kewajiban', 'si', 'jaklingko', 'nya', 'integrator', 'pemungut', 'tarif']","['registrasi', 'aktivasi', 'kartu', 'mah', 'yaudah', 'ain', 'model', 'kotak', 'merah', 'biadab', 'khas', 'kci', 'jelek', 'susah', 'baca', 'wajib', 'si', 'jaklingko', 'nya', 'integrator', 'mungut', 'tarif']",registrasi aktivasi kartu mah yaudah ain model kotak merah biadab khas kci jelek susah baca wajib si jaklingko nya integrator mungut tarif
135,136,https://twitter.com/GianeshaP/statuses/1577195743764705280,GianeshaP,iyak gimana mau dapetin kmt berlogo jaklingko nya sedangkan belum beredar lucu kalian ah ,Twitter for Android,0,0,in,reply,662,56,8,0,"['iyak', 'gimana', 'mau', 'dapetin', 'kmt', 'berlogo', 'jaklingko', 'nya', 'sedangkan', 'belum', 'beredar', 'lucu', 'kalian', 'ah']","['iyak', 'gimana', 'dapetin', 'kmt', 'berlogo', 'jaklingko', 'nya', 'beredar', 'lucu', 'ah']","['iyak', 'gimana', 'dapetin', 'kmt', 'logo', 'jaklingko', 'nya', 'edar', 'lucu', 'ah']",iyak gimana dapetin kmt logo jaklingko nya edar lucu ah
136,137,https://twitter.com/Lestari_Rasjid/statuses/1577191585342971904,Lestari_Rasjid,min mohon info dan sosialisasi nya untuk penggunaan tap in tap out satu kartu satu pelanggam itu kartu semua jenis bank khusus jaklingko ajah trus yg beli di aplikasi gimana tolonglah jangan bikin ribet udh bener sebelumnya satu kartu bisa buat beberapa orang ,Twitter for Android,1,0,in,original,6766,716,78,"1,282051282","['min', 'mohon', 'info', 'dan', 'sosialisasi', 'nya', 'untuk', 'penggunaan', 'tap', 'in', 'tap', 'out', 'satu', 'kartu', 'satu', 'pelanggam', 'itu', 'kartu', 'semua', 'jenis', 'bank', 'khusus', 'jaklingko', 'ajah', 'trus', 'yg', 'beli', 'di', 'aplikasi', 'gimana', 'tolonglah', 'jangan', 'bikin', 'ribet', 'udh', 'bener', 'sebelumnya', 'satu', 'kartu', 'bisa', 'buat', 'beberapa', 'orang']","['min', 'mohon', 'info', 'sosialisasi', 'nya', 'penggunaan', 'tap', 'in', 'tap', 'out', 'kartu', 'pelanggam', 'kartu', 'jenis', 'bank', 'khusus', 'jaklingko', 'ajah', 'trus', 'beli', 'aplikasi', 'gimana', 'tolonglah', 'bikin', 'ribet', 'udh', 'bener', 'kartu', 'orang']","['min', 'mohon', 'info', 'sosialisasi', 'nya', 'guna', 'tap', 'in', 'tap', 'out', 'kartu', 'langgam', 'kartu', 'jenis', 'bank', 'khusus', 'jaklingko', 'ajah', 'trus', 'beli', 'aplikasi', 'gimana', 'tolong', 'bikin', 'ribet', 'udh', 'bener', 'kartu', 'orang']",min mohon info sosialisasi nya guna tap in tap out kartu langgam kartu jenis bank khusus jaklingko ajah trus beli aplikasi gimana tolong bikin ribet udh bener kartu orang
138,139,https://twitter.com/linggamarch/statuses/1577184044109791235,linggamarch,hai kak mau tanya dong apakah penggunaan kartu tap in dan tap out transjakarta hanya akan menggunakan jaklingko saja ,Twitter for iPhone,0,0,in,original,1890,128,143,0,"['hai', 'kak', 'mau', 'tanya', 'dong', 'apakah', 'penggunaan', 'kartu', 'tap', 'in', 'dan', 'tap', 'out', 'transjakarta', 'hanya', 'akan', 'menggunakan', 'jaklingko', 'saja']","['hai', 'kak', 'penggunaan', 'kartu', 'tap', 'in', 'tap', 'out', 'transjakarta', 'jaklingko']","['hai', 'kak', 'guna', 'kartu', 'tap', 'in', 'tap', 'out', 'transjakarta', 'jaklingko']",hai kak guna kartu tap in tap out transjakarta jaklingko
139,140,https://twitter.com/seunghanstar/statuses/1577183542164934656,seunghanstar,min mau tanya dong aktivasi kartu jaklingko di halte rs harapan bunda ada ga ya ,Twitter for Android,0,0,in,original,1710,455,60,0,"['min', 'mau', 'tanya', 'dong', 'aktivasi', 'kartu', 'jaklingko', 'di', 'halte', 'rs', 'harapan', 'bunda', 'ada', 'ga', 'ya']","['min', 'aktivasi', 'kartu', 'jaklingko', 'halte', 'rs', 'harapan', 'bunda', 'ga', 'ya']","['min', 'aktivasi', 'kartu', 'jaklingko', 'halte', 'rs', 'harap', 'bunda', 'ga', 'ya']",min aktivasi kartu jaklingko halte rs harap bunda ga ya
140,141,https://twitter.com/alieeffputra/statuses/1577183223263567873,alieeffputra,jaklingko nih gimana sih kebijakan one man one card gak cocok buat diterapin di tj krn  kartu gue kadang buat tap  or more pax masa harus  penumpang  kartu boros bngt kerjsama sm biar bs scan qr kyk biar gak bikin ribet ,Twitter for Android,1,0,in,reply,14060,1580,784,"0,12755102","['jaklingko', 'nih', 'gimana', 'sih', 'kebijakan', 'one', 'man', 'one', 'card', 'gak', 'cocok', 'buat', 'diterapin', 'di', 'tj', 'krn', 'kartu', 'gue', 'kadang', 'buat', 'tap', 'or', 'more', 'pax', 'masa', 'harus', 'penumpang', 'kartu', 'boros', 'bngt', 'kerjsama', 'sm', 'biar', 'bs', 'scan', 'qr', 'kyk', 'biar', 'gak', 'bikin', 'ribet']","['jaklingko', 'nih', 'gimana', 'sih', 'kebijakan', 'one', 'man', 'one', 'card', 'gak', 'cocok', 'diterapin', 'kartu', 'gue', 'kadang', 'tap', 'or', 'more', 'pax', 'penumpang', 'kartu', 'boros', 'bngt', 'kerjsama', 'sm', 'biar', 'bs', 'scan', 'qr', 'kyk', 'biar', 'gak', 'bikin', 'ribet']","['jaklingko', 'nih', 'gimana', 'sih', 'bijak', 'one', 'man', 'one', 'card', 'gak', 'cocok', 'diterapin', 'kartu', 'gue', 'kadang', 'tap', 'or', 'more', 'pax', 'tumpang', 'kartu', 'boros', 'bngt', 'kerjsama', 'sm', 'biar', 'bs', 'scan', 'qr', 'kyk', 'biar', 'gak', 'bikin', 'ribet']",jaklingko nih gimana sih bijak one man one card gak cocok diterapin kartu gue kadang tap or more pax tumpang kartu boros bngt kerjsama sm biar bs scan qr kyk biar gak bikin ribet
